AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
1,Ratabari,138020,1,KRIPANATH MALLAH,M,35,SC,INC,33034,9,33043,39.82,82973,0.3982379810299736,1,2011
1,Ratabari,138020,2,NIKHIL SUKLABAIDYA,M,44,SC,BJP,20609,5,20614,24.84,82973,0.24844226435105396,0,2011
1,Ratabari,138020,3,PRIYADA RANJAN MALLICK,M,63,SC,AIUDF,17499,1,17500,21.09,82973,0.21091198341629205,0,2011
1,Ratabari,138020,4,AMARESH ROY,M,41,SC,AITC,3938,0,3938,4.75,82973,0.04746122232533475,0,2011
1,Ratabari,138020,5,RAGENDRA CHANDRA DAS,M,46,SC,CPI,3147,0,3147,3.79,82973,0.03792800067491835,0,2011
1,Ratabari,138020,6,MOON SWARNAKAR,F,36,SC,AGP,1741,0,1741,2.1,82973,0.02098272932158654,0,2011
1,Ratabari,138020,7,BIJOY PRASAD MALLAH,M,33,SC,IND,813,0,813,0.98,82973,0.009798368143854024,0,2011
1,Ratabari,138020,8,MUNILAL RABIDAS,M,41,SC,SUCI,571,0,571,0.69,82973,0.006881756716040158,0,2011
1,Ratabari,138020,9,NIRMAL MALLICK,M,37,SC,SP,457,0,457,0.55,82973,0.005507815795499741,0,2011
1,Ratabari,138020,10,PARIKSHIT ROY,M,39,SC,IND,414,0,414,0.5,82973,0.004989574921962566,0,2011
1,Ratabari,138020,11,ANANDA SANKAR MALLAH,M,39,SC,IND,406,0,406,0.49,82973,0.004893158015257975,0,2011
1,Ratabari,138020,12,PRADIP BANIA,M,35,SC,IND,329,0,329,0.4,82973,0.003965145288226291,0,2011
2,Patharkandi,142923,1,MONILAL GOWALA,M,67,GEN,INC,44970,16,44986,42.26,106456,0.42257834222589613,1,2011
2,Patharkandi,142923,2,KARTIK SENA SINHA,M,37,GEN,AIUDF,41741,21,41762,39.23,106456,0.39229352972119935,0,2011
2,Patharkandi,142923,3,SUKHENDU SHEKHAR DUTTA,M,70,GEN,BJP,9422,2,9424,8.85,106456,0.08852483655219058,0,2011
2,Patharkandi,142923,4,KRIPESH RANJAN DASGUPTA,M,59,GEN,CPM,6231,3,6234,5.86,106456,0.05855940482452844,0,2011
2,Patharkandi,142923,5,NIKHIL KUMAR SEN,M,58,GEN,IND,1417,0,1417,1.33,106456,0.01331066356053205,0,2011
2,Patharkandi,142923,6,RUPAM NANDI PURKAYASTHA,M,43,GEN,AITC,1265,2,1267,1.19,106456,0.01190163072067333,0,2011
2,Patharkandi,142923,7,DEBANGSHU NATH,M,42,GEN,SUCI,764,0,764,0.72,106456,0.007176673931013752,0,2011
2,Patharkandi,142923,8,MAIN UDDIN CHOUDHURY,M,58,GEN,SP,602,0,602,0.57,106456,0.005654918463966333,0,2011
3,Karimganj North,157832,1,KAMALAKHYA DEY PURKAYASTHA,M,33,GEN,INC,44975,52,45027,41.53,108415,0.4153207581976664,1,2011
3,Karimganj North,157832,2,MISSION RANJAN DAS,M,50,GEN,BJP,27212,45,27257,25.14,108415,0.25141354978554625,0,2011
3,Karimganj North,157832,3,ABDUL MUQTADIR CHOUDHURY,M,70,GEN,AIUDF,23459,38,23497,21.67,108415,0.2167320020292395,0,2011
3,Karimganj North,157832,4,NAZRUL ISLAM CHOUDHURY,M,49,GEN,AGP,7782,2,7784,7.18,108415,0.07179818290826916,0,2011
3,Karimganj North,157832,5,SATYAJIT PAUL PURKAYASTHA (SAJAL),M,33,GEN,CPI,2388,0,2388,2.2,108415,0.022026472351611863,0,2011
3,Karimganj North,157832,6,SAHAB UDDIN CHOUDHURY,M,37,GEN,IND,530,0,530,0.49,108415,0.004888622423096435,0,2011
3,Karimganj North,157832,7,PIKLU DAS,F,50,GEN,SUCI,430,3,433,0.4,108415,0.003993912281510861,0,2011
3,Karimganj North,157832,8,AKSHAY SUKLABAIDYA,M,38,SC,IND,334,0,334,0.31,108415,0.0030807545081400177,0,2011
3,Karimganj North,157832,9,SATH KARI SAHA,M,37,GEN,IND,318,0,318,0.29,108415,0.002933173453857861,0,2011
3,Karimganj North,157832,10,BIKASH KANTI ROY,M,52,GEN,IND,251,1,252,0.23,108415,0.0023244016049439654,0,2011
3,Karimganj North,157832,11,SAD UDDIN,M,36,GEN,IND,217,0,217,0.2,108415,0.002001568048701748,0,2011
3,Karimganj North,157832,12,BAHARUL ISLAM CHOUDHURY,M,28,GEN,IND,194,0,194,0.18,108415,0.0017894202831711479,0,2011
3,Karimganj North,157832,13,NITAI DEB,M,35,GEN,IND,184,0,184,0.17,108415,0.0016971821242448,0,2011
4,Karimganj South,144103,1,SIDDEQUE AHMED,M,44,GEN,INC,45336,59,45395,43.42,104544,0.4342190847872666,1,2011
4,Karimganj South,144103,2,EKBAL HUSSAIN,M,33,GEN,AITC,22266,16,22282,21.31,104544,0.2131351392715029,0,2011
4,Karimganj South,144103,3,SIPRA GOON,F,42,GEN,BJP,20433,10,20443,19.55,104544,0.1955444597490052,0,2011
4,Karimganj South,144103,4,DR. K.M. BAHARUL ISLAM,M,41,GEN,AIUDF,9843,10,9853,9.42,104544,0.09424739822467096,0,2011
4,Karimganj South,144103,5,AZIZUR RAHMAN TALUKDAR,M,48,GEN,AGP,2738,4,2742,2.62,104544,0.026228191000918274,0,2011
4,Karimganj South,144103,6,MOSTAK AHMED,M,38,GEN,IND,387,0,387,0.37,104544,0.0037017906336088155,0,2011
4,Karimganj South,144103,7,BADRUL ISLAM,M,25,GEN,IND,358,0,358,0.34,104544,0.0034243954698500154,0,2011
4,Karimganj South,144103,8,NEZAM UDDIN,M,38,GEN,IND,324,0,324,0.31,104544,0.0030991735537190084,0,2011
4,Karimganj South,144103,9,ABDUR RAHIM KHAN,M,29,GEN,IND,298,0,298,0.29,104544,0.002850474441383532,0,2011
4,Karimganj South,144103,10,TAPU ROY,M,30,GEN,IND,263,0,263,0.25,104544,0.002515687174778084,0,2011
4,Karimganj South,144103,11,RAMKRISHNA NAMASUDRA,M,36,SC,IND,255,0,255,0.24,104544,0.002439164370982553,0,2011
4,Karimganj South,144103,12,RANJIT NAMASUDRA,M,38,SC,IND,232,0,232,0.22,104544,0.002219161310070401,0,2011
