AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
1,Mannadipet,27879,1,T.P.R. SELVAM,M,39,GEN,AINRC,12329,83,12412,49.56,25045,0.49558794170493115,1,2011
1,Mannadipet,27879,2,K.P.K. ARUL MURUGAN,M,35,GEN,PMK,7661,35,7696,30.73,25045,0.3072868836095029,0,2011
1,Mannadipet,27879,3,N. RAJARAM,M,72,GEN,IND,4072,10,4082,16.3,25045,0.162986624076662,0,2011
1,Mannadipet,27879,4,D. GUNASHAKARAN,M,33,GEN,IND,329,0,329,1.31,25045,0.01313635456178878,0,2011
1,Mannadipet,27879,5,M. LATCHUMANAN,M,57,GEN,BJP,156,0,156,0.62,25045,0.006228788181273708,0,2011
1,Mannadipet,27879,6,PA. VADIVELAN,M,31,GEN,JD(U),152,0,152,0.61,25045,0.006069075663805151,0,2011
1,Mannadipet,27879,7,V. MURUGANANDHAM,M,35,GEN,IND,127,0,127,0.51,25045,0.005070872429626672,0,2011
1,Mannadipet,27879,8,N.R. TANDAPANY,M,39,GEN,IND,91,0,91,0.36,25045,0.0036334597724096626,0,2011
2,Thirubhuvanai,25620,1,P. ANGALANE,M,43,SC,AINRC,13676,57,13733,59.02,23269,0.5901843654647815,1,2011
2,Thirubhuvanai,25620,2,K. JAYARAJ,M,60,SC,INC,8935,30,8965,38.53,23269,0.3852765481971722,0,2011
2,Thirubhuvanai,25620,3,M. DHANDAPANI,M,45,SC,IND,241,0,241,1.04,23269,0.010357127508702565,0,2011
2,Thirubhuvanai,25620,4,M. SUNDARAMOORTHY,M,43,SC,BJP,212,0,212,0.91,23269,0.009110834157032963,0,2011
2,Thirubhuvanai,25620,5,V.M. VELMURUGAN,M,27,SC,BSP,118,0,118,0.51,23269,0.0050711246723108,0,2011
3,Oussudu,24770,1,P. KARTHIKEYAN,M,35,SC,AINRC,13274,53,13327,58.78,22672,0.5878175723359209,1,2011
