AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
1,Gummidipoondi,215443,1,SEKAR C H,M,31,GEN,DMDK,97660,48,97708,54.4,179616,0.5439827186887582,1,2011
1,Gummidipoondi,215443,2,SEKAR K N,M,40,GEN,PMK,68180,272,68452,38.11,179616,0.381101906288972,0,2011
1,Gummidipoondi,215443,3,SELVAKUMAR R,M,27,SC,IND,1892,0,1892,1.05,179616,0.010533582754320328,0,2011
1,Gummidipoondi,215443,4,CHAKRAVARTHI SRIRAMAN B,M,36,GEN,BJP,1877,6,1883,1.05,179616,0.010483475859611615,0,2011
1,Gummidipoondi,215443,5,MUNIKRISHNAN G,M,43,GEN,JMM,1835,1,1836,1.02,179616,0.01022180652057723,0,2011
1,Gummidipoondi,215443,6,VELU N,M,36,GEN,IND,1462,0,1462,0.81,179616,0.00813958667379298,0,2011
1,Gummidipoondi,215443,7,ASOKAN G,M,51,SC,PB,1425,0,1425,0.79,179616,0.00793359166221272,0,2011
1,Gummidipoondi,215443,8,RAJA A,M,39,SC,IND,1411,0,1411,0.79,179616,0.007855647603776947,0,2011
1,Gummidipoondi,215443,9,SUDHAKAR M,M,28,GEN,RPI,1228,0,1228,0.68,179616,0.006836807411366471,0,2011
1,Gummidipoondi,215443,10,SHANMUGAM P,M,30,GEN,IND,997,0,997,0.56,179616,0.005550730447176198,0,2011
1,Gummidipoondi,215443,11,SRINIVASAN D,M,45,SC,BSP,832,3,835,0.46,179616,0.004648806342419384,0,2011
1,Gummidipoondi,215443,12,ELUMALAI S,M,40,GEN,IND,487,0,487,0.27,179616,0.002711339747015856,0,2011
2,Ponneri,202449,1,PON. RAJA,M,36,SC,AIADMK,93599,25,93624,57.5,162835,0.5749623852365892,1,2011
2,Ponneri,202449,2,"""MANIMEKALAI A.""",F,42,SC,DMK,62132,222,62354,38.29,162835,0.38292750330088743,0,2011
2,Ponneri,202449,3,"""RAJA S.""",M,30,SC,BSP,1346,1,1347,0.83,162835,0.008272177357447723,0,2011
2,Ponneri,202449,4,"""GANESAN K.""",M,46,SC,BJP,1333,2,1335,0.82,162835,0.008198483127091842,0,2011
2,Ponneri,202449,5,"""JAYAKANTHAN S.""",M,29,SC,IND,1166,1,1167,0.72,162835,0.007166763902109497,0,2011
2,Ponneri,202449,6,"""PRABAKARAN N.""",M,38,SC,PB,754,0,754,0.46,162835,0.004630454140694568,0,2011
2,Ponneri,202449,7,"""RAGUPATHI K.""",M,43,SC,IND,637,0,637,0.39,162835,0.003911935394724722,0,2011
2,Ponneri,202449,8,"""PALANI E.""",M,43,SC,IND,635,1,636,0.39,162835,0.003905794208861731,0,2011
2,Ponneri,202449,9,"""DEVENDIRAN M.""",M,44,SC,IND,420,0,420,0.26,162835,0.00257929806245586,0,2011
2,Ponneri,202449,10,"""RAGHUPATHI S.""",M,41,SC,IND,318,1,319,0.2,162835,0.0019590382902938555,0,2011
2,Ponneri,202449,11,"""KANNIMUTHU J.S.""",M,43,SC,IND,242,0,242,0.15,162835,0.0014861669788436148,0,2011
3,Tiruttani,236733,1,ARUNSUBRAMANIAN. M,M,56,GEN,DMDK,95815,103,95918,50.16,191237,0.501566119527079,1,2011
3,Tiruttani,236733,2,RAMAN.E.S.S.,M,56,GEN,INC,71062,926,71988,37.64,191237,0.3764334307691503,0,2011
3,Tiruttani,236733,3,SUBRAMANI.A.K,M,48,GEN,JMM,9757,3,9760,5.1,191237,0.05103614886240633,0,2011
3,Tiruttani,236733,4,RAMBAI.S,F,38,GEN,IND,3232,0,3232,1.69,191237,0.016900495197059145,0,2011
3,Tiruttani,236733,5,DASS.D,M,40,SC,BSP,1859,0,1859,0.97,191237,0.00972092220647678,0,2011
3,Tiruttani,236733,6,RAMESHKUMAR.M,M,41,SC,IND,1524,0,1524,0.8,191237,0.007969169146138037,0,2011
3,Tiruttani,236733,7,BABU.J.,M,56,SC,BJP,1446,4,1450,0.76,191237,0.00758221473877963,0,2011
3,Tiruttani,236733,8,RAMESH.J,M,30,SC,PB,1295,1,1296,0.68,191237,0.006776931242385103,0,2011
3,Tiruttani,236733,9,SURESHBABU.N.D.,M,33,GEN,IND,1242,0,1242,0.65,191237,0.006494559107285724,0,2011
3,Tiruttani,236733,10,THANIGAIMALAI. M.D.,M,40,GEN,IJK,1134,1,1135,0.59,191237,0.0059350439506999164,0,2011
3,Tiruttani,236733,11,CHINNAPPAN.M.,M,40,SC,IND,710,0,710,0.37,191237,0.0037126706651955427,0,2011
3,Tiruttani,236733,12,SHETTU,M,38,SC,IND,591,0,591,0.31,191237,0.003090406145254318,0,2011
3,Tiruttani,236733,13,SHANMUGAM.M.,M,46,GEN,IND,532,0,532,0.28,191237,0.0027818884420901815,0,2011
4,Thiruvallur,207935,1,RAMANA B.V,M,43,GEN,AIADMK,91294,43,91337,53.69,170115,0.5369132645563296,1,2011
4,Thiruvallur,207935,2,SHIAJI E.A.P,M,65,GEN,DMK,67531,158,67689,39.79,170115,0.39790141962789877,0,2011
4,Thiruvallur,207935,3,JAMES E,M,42,GEN,PB,2219,1,2220,1.3,170115,0.013049995591217705,0,2011
4,Thiruvallur,207935,4,JANAKIRAMAN R.M.R,M,54,GEN,BJP,1865,4,1869,1.1,170115,0.010986685477471123,0,2011
4,Thiruvallur,207935,5,DEIVASIGAMANI T.A,M,62,GEN,RJD,1080,0,1080,0.63,170115,0.00634864650383564,0,2011
