AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
1,Mekliganj,170181,1,ADHIKARY PARESH CHANDRA,M,58,SC,AIFB,71622,418,72040,48.89,147357,0.4888807454006257,1,2011
1,Mekliganj,170181,2,JAYANTA KUMAR RAY,M,48,SC,INC,39343,65,39408,26.74,147357,0.26743215456340724,0,2011
1,Mekliganj,170181,3,SUNIL CHANDRA RAY,M,60,SC,IND,23503,37,23540,15.97,147357,0.15974809476305843,0,2011
1,Mekliganj,170181,4,SUBHASH BARMAN,M,34,SC,BJP,3708,5,3713,2.52,147357,0.025197309934377056,0,2011
1,Mekliganj,170181,5,JYOTISH ROY,M,61,SC,BSP,3358,1,3359,2.28,147357,0.022794980896733784,0,2011
1,Mekliganj,170181,6,PRAMILA ROY,F,44,SC,SUCI,2589,4,2593,1.76,147357,0.01759672088872602,0,2011
1,Mekliganj,170181,7,PURNENDU ROY,M,32,SC,IND,1473,1,1474,1,147357,0.010002918083294312,0,2011
1,Mekliganj,170181,8,RATAN BARMAN,M,46,SC,AMB,1229,1,1230,0.83,147357,0.00834707546977748,0,2011
2,Mathabhanga,194088,1,BINAY KRISHNA BARMAN,M,50,SC,AITC,77902,347,78249,46.46,168434,0.4645677238562286,1,2011
2,Mathabhanga,194088,2,ANANTA ROY,M,57,SC,CPM,72298,627,72925,43.3,168434,0.4329589037842716,0,2011
2,Mathabhanga,194088,3,SUSHIL BARMAN,M,42,SC,BJP,11300,8,11308,6.71,168434,0.0671360889131648,0,2011
2,Mathabhanga,194088,4,MANTU BARMAN,M,41,SC,IND,2918,1,2919,1.73,168434,0.01733023023855041,0,2011
2,Mathabhanga,194088,5,TILAK CHAND BARMAN,M,29,SC,BSP,1951,3,1954,1.16,168434,0.011600983174418466,0,2011
2,Mathabhanga,194088,6,HARE KRISHNA SARKAR,M,39,SC,RPI,1078,1,1079,0.64,168434,0.006406070033366185,0,2011
3,Cooch behar Uttar,218743,1,NAGENDRA NATH ROY,M,54,SC,AIFB,84120,705,84825,45.11,188032,0.4511200221238938,1,2011
3,Cooch behar Uttar,218743,2,PRASENJIT BARMAN,M,77,SC,AITC,82234,394,82628,43.94,188032,0.4394358407079646,0,2011
3,Cooch behar Uttar,218743,3,MALATI RAVA(RAY),F,46,SC,BJP,12596,12,12608,6.71,188032,0.06705241660993873,0,2011
3,Cooch behar Uttar,218743,4,NIRMAL KUMAR ROY,M,51,SC,IND,4744,1,4745,2.52,188032,0.025235066371681415,0,2011
3,Cooch behar Uttar,218743,5,RATAN BARMAN,M,28,SC,IND,1883,0,1883,1,188032,0.010014252893124574,0,2011
3,Cooch behar Uttar,218743,6,KULEN DAS,M,47,SC,IND,1343,0,1343,0.71,188032,0.007142401293396869,0,2011
4,Cooch behar Dakshin,182901,1,AKSHAY THAKUR,M,58,GEN,AIFB,71060,968,72028,47.04,153115,0.4704176599288117,1,2011
4,Cooch behar Dakshin,182901,2,ABDUL JALIL AHMED,M,57,GEN,AITC,68719,446,69165,45.17,153115,0.4517192959540215,0,2011
4,Cooch behar Dakshin,182901,3,GAYETRI KAR,F,51,GEN,BJP,6410,9,6419,4.19,153115,0.04192273781144891,0,2011
4,Cooch behar Dakshin,182901,4,SANAT SEN,M,33,GEN,IND,2207,0,2207,1.44,153115,0.014414002547105117,0,2011
4,Cooch behar Dakshin,182901,5,SHYAMAL CHANDRA BARMAN,M,33,SC,IND,1277,0,1277,0.83,153115,0.00834013649871012,0,2011
4,Cooch behar Dakshin,182901,6,PRAHLAD CHANDRA DATTA,M,63,GEN,IND,745,0,745,0.49,153115,0.004865623877477713,0,2011
4,Cooch behar Dakshin,182901,7,KRISHNA KANTA BARMAN,M,31,SC,IND,684,1,685,0.45,153115,0.00447376155177481,0,2011
4,Cooch behar Dakshin,182901,8,CHANCHAL SARKAR,M,36,GEN,PDCI,589,0,589,0.38,153115,0.003846781830650165,0,2011
5,Sitalkuchi,216535,1,HITEN BARMAN,M,60,SC,AITC,84525,126,84651,44.22,191453,0.44215029276114765,1,2011
5,Sitalkuchi,216535,2,BISWANATH PRAMANIK,M,57,SC,CPM,84062,332,84394,44.08,191453,0.44080792674964614,0,2011
5,Sitalkuchi,216535,3,BHABENDRA NATH BARMAN,M,63,SC,BJP,8822,7,8829,4.61,191453,0.04611575686983228,0,2011
5,Sitalkuchi,216535,4,SUBAL BARMAN,M,30,SC,JMM,6000,0,6000,3.13,191453,0.03133928431521052,0,2011
5,Sitalkuchi,216535,5,DWIJENDRA NATH BARMAN,M,33,SC,IND,3544,3,3547,1.85,191453,0.018526740244341953,0,2011
5,Sitalkuchi,216535,6,GOUTAM BARMAN,M,36,SC,BSP,2368,1,2369,1.24,191453,0.012373794090455621,0,2011
5,Sitalkuchi,216535,7,SUBODH BARMAN,M,54,SC,AMB,1662,1,1663,0.87,191453,0.00868620496936585,0,2011
6,Sitai,209580,1,KESHAB CH. RAY,M,58,SC,INC,79624,167,79791,46.67,170962,0.4667177501433067,1,2011
